id,google_id,lat,lon,maps,url,hours,name,type,display_type,description,time_zone,country,zip,state,city,address1,address2,created_at,ai_summary,ai_score,ai_indicators,ai_updated_at
6ec45101-0d4b-4b4a-a1e8-6ac5a28d83e1,ChIJmzrbb0bKj4ARojwgNmhqAPQ,37.3503277,-121.96102559999999,https://maps.google.com/?cid=17582169941071641762&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.target.com/sl/santa-clara/2830,"['Monday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u200910:00\u202fPM']",Target,Store,Department Store,"Retail chain offering home goods, clothing, electronics & more, plus exclusive designer collections.",America/Los_Angeles,US,95050-4051,California,Santa Clara,2004 El Camino Real,,2025-09-20T22:29:39.152+00:00,"Target in Santa Clara, California, offers various accessibility features, including wheelchair accessibility, free Aira service for guests who are blind or have low vision, and accessible self‑checkout kiosks. The store aims to provide an inclusive shopping experience for guests with disabilities.",80,"[{'exists': True, 'indicator': 'Wheelchair Accessible'}, {'exists': True, 'indicator': 'Aira Service'}, {'exists': True, 'indicator': 'Accessible Self-Checkout'}]",2026-02-28T02:44:58.263+00:00
24058a17-535d-41c2-854b-5a22f23a9494,ChIJ9VK2M4b4j4AREOIU39LftSE,37.9634518,-121.76175320000002,https://maps.google.com/?cid=2429093670815064592&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAAYBCAA,https://www.walmart.com/store/2697-antioch-ca/?veh=seo_loc,"['Monday: 6:00\u202fAM\u2009–\u200911:00\u202fPM', 'Tuesday: 6:00\u202fAM\u2009–\u200911:00\u202fPM', 'Wednesday: 6:00\u202fAM\u2009–\u200911:00\u202fPM', 'Thursday: 6:00\u202fAM\u2009–\u200911:00\u202fPM', 'Friday: 6:00\u202fAM\u2009–\u200911:00\u202fPM', 'Saturday: 6:00\u202fAM\u2009–\u200911:00\u202fPM', 'Sunday: 6:00\u202fAM\u2009–\u200911:00\u202fPM']",Walmart Supercenter,Store,Department Store,,America/Los_Angeles,US,94531,California,Antioch,4893 Lone Tree Wy,,2025-07-21T02:22:18.178+00:00,"The Walmart Supercenter in Antioch, CA provides a range of accessibility features, including a disability‑friendly layout, motorized carts, wheelchair assembly, and sensory‑friendly hours. The store also offers additional services such as wheelchair and shower rail installation.",82,"[{'exists': True, 'indicator': 'Wheelchair Accessibility'}, {'exists': True, 'indicator': 'Motorized Carts'}, {'exists': True, 'indicator': 'Sensory Friendly Hours'}, {'exists': True, 'indicator': 'Accessibility Services'}]",2026-03-14T16:31:56.821+00:00
7f679bc9-650b-4208-bccd-74d24283fc58,ChIJQWsUfqujj4ARu3Nyc93WBCY,37.4852425,-122.2257181,https://maps.google.com/?cid=2739550719961101243,https://stores.savers.com/ca/redwoodcity/savers-thrift-store-1007.html,"['Monday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20098:00\u202fPM']",Savers,Store,Discount Store,"Thrift store chain offering secondhand clothing, footwear, furniture, books & household items.",America/Los_Angeles,US,94063,California,Redwood City,875 Main St,,2025-06-05T22:34:21.437+00:00,,,,
66f391a3-92c6-4e4c-9a45-92c2c575a513,ChIJVeanW6u3j4ARnvMAACO_ofM,37.316615999999996,-121.83184089999999,https://maps.google.com/?cid=17555522979511727006,https://www.numotion.com/locations/bay-area-ca,"['Monday: 8:30\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:30\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:30\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:30\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:30\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",Numotion,Medical Equipment,Other,,America/Los_Angeles,US,95122,California,San Jose,1430 Tully Rd Suite 401B,,2025-06-06T23:48:04.152+00:00,,,,
2ddc8ab6-4f3f-4004-8e05-2278b18064d8,ChIJfyQi6mq1t4kR4bZDbo42dYQ,38.8802909,-77.1105765,https://maps.google.com/?cid=9544594970644821729,https://eathawkers.com/?olonwp=JjBtp_vMLk25gkYh_bnoiQ,"['Monday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u200911:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u200911:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u200910:00\u202fPM']",Hawkers Asian Street Food,Restaurant,Asian Restaurant,,America/New_York,US,22203,Virginia,Arlington,4201 Wilson Blvd #0170,,2025-06-08T16:22:42.214+00:00,"Hawkers Asian Street Food in Arlington offers a vibrant dining experience with flavorful Asian dishes in a wheelchair-friendly layout. The restaurant is known for its accessible seating and restroom facilities. It is located in the Ballston neighborhood and provides a welcoming atmosphere. While it offers various accessibility features, some features like automatic doors, braille menus, and contactless ordering are not confirmed.",78,"[{'exists': True, 'indicator': 'Accessible Seating'}, {'exists': True, 'indicator': 'Accessible Restroom'}, {'exists': False, 'indicator': 'Automatic Doors'}, {'exists': False, 'indicator': 'Braille Menu'}, {'exists': False, 'indicator': 'Contactless Ordering'}]",2026-02-23T18:53:35.796+00:00
d5a64074-dca6-4120-a317-0820837426cf,ChIJlXn0u0zLj4AR8KM83FdJG0A,37.3566169,-121.9053076,https://maps.google.com/?cid=4619366484504519664&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAAYBCAA,http://leyouethiopian.com/,"['Monday: 5:30\u2009–\u20099:00\u202fPM', 'Tuesday: 5:30\u2009–\u20099:00\u202fPM', 'Wednesday: 5:30\u2009–\u20099:00\u202fPM', 'Thursday: 11:30\u202fAM\u2009–\u20092:30\u202fPM, 5:30\u2009–\u20099:00\u202fPM', 'Friday: 11:30\u202fAM\u2009–\u20092:30\u202fPM, 5:30\u2009–\u20099:00\u202fPM', 'Saturday: 11:30\u202fAM\u2009–\u20092:30\u202fPM, 5:30\u2009–\u20099:00\u202fPM', 'Sunday: 11:30\u202fAM\u2009–\u20092:30\u202fPM, 5:30\u2009–\u20099:00\u202fPM']",LeYou Ethiopian,Restaurant,Restaurant,"Trendy venue with traditional Ethiopian fare like lamb & kitfo, plus seating in a leafy courtyard.",America/Los_Angeles,US,95112,California,San Jose,1100 N First St suite c,,2025-07-05T00:50:11.352+00:00,"LeYou Ethiopian in San Jose offers traditional Ethiopian cuisine in a trendy venue with a leafy courtyard. The restaurant is wheelchair accessible with a ramp-free entrance, accessible parking, restroom, and seating. It is on a single level with no interior steps, making navigation easy for patrons with mobility needs.",85,"[{'exists': True, 'indicator': 'Wheelchair Accessible Entrance'}, {'exists': True, 'indicator': 'Wheelchair Accessible Parking'}, {'exists': True, 'indicator': 'Wheelchair Accessible Restroom'}, {'exists': True, 'indicator': 'Wheelchair Accessible Seating'}, {'exists': True, 'indicator': 'Ramp'}, {'exists': True, 'indicator': 'Single Level'}]",2026-02-18T15:58:05.786+00:00
08f1ce62-01f4-415f-b082-a868a2a60e9d,ChIJwz4wNq_Lj4ARR-PU9hShHFY,37.3489255,-121.93678039999998,https://maps.google.com/?cid=6205011498022265671,https://www.scu.edu/,[],Santa Clara University,University,University,This 1851 Jesuit university offers a scenic campus with gardens & Mission Revival-style buildings.,America/Los_Angeles,US,95053,California,Santa Clara,500 El Camino Real,,2025-06-06T23:48:35.679+00:00,"Santa Clara University provides a range of accessibility services, including an Office of Accessible Education that coordinates academic accommodations and support for students with disabilities. The campus offers accessible media such as captioned videos and provides accessible versions of digital content on request. While specific physical features like wheelchair‑accessible routes are not detailed in the available sources, the university’s commitment to inclusive technology and accommodations is evident.",70,"[{'exists': True, 'indicator': 'Accessible Media'}, {'exists': True, 'indicator': 'Captioned Videos'}]",2025-11-04T00:18:57.991+00:00
105be487-5c4a-499a-8a7f-cf2bbd0dcbf8,ChIJHSgoF0OWwoARZCa-Et8b5Yk,34.1753399,-118.41898169999999,https://maps.google.com/?cid=9936378797768975972&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAAYBCAA,https://www.lavc.edu/,"['Monday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20091:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",Los Angeles Valley College,University,College,,America/Los_Angeles,US,91401,California,Valley Glen,5800 Fulton Ave,,2025-07-16T18:24:37.331+00:00,"Los Angeles Valley College prioritizes accessibility and inclusivity for students with disabilities. It offers a range of services such as assistive technology, accommodations, and accessible facilities. The campus includes ramps, elevators, and designated accessible parking. Resources are available for visual, hearing, mobility, and learning impairments.",95,"[{'exists': True, 'indicator': 'ADA Compliance'}, {'exists': True, 'indicator': 'Accessible Entrances'}, {'exists': True, 'indicator': 'Elevators'}, {'exists': True, 'indicator': 'Accessible Parking'}, {'exists': True, 'indicator': 'Assistive Technology'}, {'exists': True, 'indicator': 'Services For Students With Disabilities'}, {'exists': True, 'indicator': 'Accessible Software'}, {'exists': True, 'indicator': 'Video Remote Interpreting'}, {'exists': True, 'indicator': 'Large Print Materials'}, {'exists': True, 'indicator': 'Braille Materials'}, {'exists': True, 'indicator': 'Note-taking Assistance'}, {'exists': True, 'indicator': 'Test-taking Accommodations'}, {'exists': True, 'indicator': 'Books On Tape'}]",2026-03-13T22:22:26.768+00:00
a9c38dfb-b062-4159-a7db-504bd604b7c1,ChIJKbeXYdi6j4AR3L27PCUB8_Q,37.4296194,-122.16063330000001,https://maps.google.com/?cid=17650452624039460316&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAAYBCAA,http://gostanford.com/facilities/?id=10,[],Stanford Maples Pavilion,Venue,Arena,"Circa 1969 stadium hosting Stanford's basketball, volleyball & gymnastics teams plus NCAA events.",America/Los_Angeles,US,94305,California,Stanford,655 Campus Drive,,2025-07-09T02:35:07.128+00:00,,,,
6cf72d68-11c5-4200-82ea-9808ec19881b,ChIJTfuZSLaIOIgRYWfn7Ai59lE,39.9574967,-82.98887859999999,https://maps.google.com/?cid=5906111409328449377&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAAYBCAA,https://www.enterprise.com/en/car-rental-locations/us/oh/downtown-columbus-3831.html?mcid=yext:245709,"['Monday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20092:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20091:00\u202fPM']",Enterprise Rent-A-Car,Car Rental,Car Rental Agency,,America/New_York,US,43215,Ohio,Columbus,396 E Main St,,2025-07-08T21:38:38.466+00:00,,,,
